                                                                          oof_accuracy                                                         test_accuracy                                                        
                                                                                  mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                
lgb_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle          0.5854  0.5800  0.5909 0.0044  [0.581 0.582 0.585 0.586 0.592]        0.5758  0.5707  0.5809 0.0041  [0.572 0.573 0.576 0.576 0.582]
lgb_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle          0.5876  0.5826  0.5925 0.0040  [0.582 0.585 0.590 0.590 0.591]        0.5754  0.5695  0.5813 0.0048  [0.569 0.572 0.577 0.579 0.580]
lgb_embeds: emb__loss_contrastive_margin_0.5.pickle                             0.6233  0.6192  0.6275 0.0033  [0.619 0.622 0.624 0.626 0.626]        0.6114  0.6098  0.6130 0.0013  [0.610 0.610 0.612 0.612 0.613]
lgb_embeds: emb__loss_contrastive_margin_1.0.pickle                             0.6103  0.6050  0.6156 0.0043  [0.606 0.608 0.608 0.614 0.616]        0.5969  0.5941  0.5997 0.0023  [0.595 0.596 0.596 0.597 0.601]
lgb_embeds: emb__loss_histogramloss.pickle                                      0.6175  0.6140  0.6211 0.0029  [0.613 0.617 0.619 0.619 0.619]        0.6075  0.6060  0.6091 0.0013  [0.606 0.607 0.607 0.608 0.609]
lgb_embeds: emb__loss_margin_0.2_beta_0.4.pickle                                0.6067  0.6014  0.6119 0.0042  [0.601 0.604 0.607 0.609 0.612]        0.5889  0.5877  0.5901 0.0010  [0.588 0.588 0.589 0.590 0.590]
lgb_embeds: emb__loss_margin_0.3_beta_0.6.pickle                                0.6070  0.5989  0.6152 0.0066  [0.597 0.604 0.609 0.612 0.613]        0.5925  0.5905  0.5944 0.0016  [0.591 0.591 0.592 0.592 0.595]
lgb_embeds: emb__loss_triplet_margin_0.3.pickle                                 0.6161  0.6119  0.6203 0.0034  [0.613 0.613 0.615 0.619 0.620]        0.6011  0.5973  0.6049 0.0031  [0.596 0.601 0.602 0.602 0.605]
lgb_embeds: emb__loss_triplet_margin_0.6.pickle                                 0.6101  0.6039  0.6163 0.0050  [0.605 0.606 0.610 0.612 0.618]        0.5911  0.5872  0.5950 0.0031  [0.587 0.590 0.591 0.593 0.595]
linear_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle       0.5645  0.5605  0.5686 0.0033  [0.559 0.564 0.565 0.566 0.568]        0.5523  0.5474  0.5572 0.0039  [0.546 0.552 0.552 0.555 0.557]
linear_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle       0.5785  0.5742  0.5828 0.0035  [0.575 0.576 0.579 0.579 0.584]        0.5709  0.5664  0.5754 0.0036  [0.569 0.569 0.569 0.570 0.577]
linear_embeds: emb__loss_contrastive_margin_0.5.pickle                          0.6096  0.6040  0.6151 0.0045  [0.603 0.606 0.612 0.613 0.614]        0.6128  0.6113  0.6142 0.0012  [0.611 0.612 0.613 0.613 0.615]
linear_embeds: emb__loss_contrastive_margin_1.0.pickle                          0.6007  0.5921  0.6094 0.0070  [0.593 0.597 0.600 0.603 0.611]        0.5869  0.5834  0.5904 0.0028  [0.585 0.586 0.586 0.586 0.592]
linear_embeds: emb__loss_histogramloss.pickle                                   0.6076  0.5994  0.6158 0.0066  [0.602 0.604 0.606 0.607 0.619]        0.5898  0.5860  0.5936 0.0031  [0.586 0.587 0.591 0.592 0.593]
linear_embeds: emb__loss_margin_0.2_beta_0.4.pickle                             0.5952  0.5892  0.6013 0.0049  [0.589 0.592 0.597 0.598 0.601]        0.5789  0.5731  0.5848 0.0047  [0.572 0.578 0.578 0.583 0.583]
linear_embeds: emb__loss_margin_0.3_beta_0.6.pickle                             0.5938  0.5902  0.5974 0.0029  [0.589 0.592 0.596 0.596 0.596]        0.5813  0.5789  0.5836 0.0019  [0.578 0.581 0.582 0.582 0.582]
linear_embeds: emb__loss_triplet_margin_0.3.pickle                              0.6087  0.6023  0.6151 0.0052  [0.601 0.607 0.609 0.612 0.614]        0.6044  0.6012  0.6077 0.0026  [0.601 0.603 0.603 0.606 0.608]
linear_embeds: emb__loss_triplet_margin_0.6.pickle                              0.6059  0.5959  0.6159 0.0081  [0.600 0.601 0.605 0.605 0.620]        0.6026  0.6001  0.6050 0.0020  [0.600 0.602 0.603 0.604 0.605]
xgb_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle          0.5840  0.5775  0.5905 0.0052  [0.576 0.584 0.585 0.585 0.591]        0.5736  0.5700  0.5772 0.0029  [0.570 0.572 0.574 0.575 0.577]
xgb_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle          0.5852  0.5803  0.5901 0.0039  [0.579 0.583 0.587 0.588 0.589]        0.5764  0.5711  0.5817 0.0043  [0.570 0.576 0.577 0.578 0.581]
xgb_embeds: emb__loss_contrastive_margin_0.5.pickle                             0.6219  0.6175  0.6262 0.0035  [0.618 0.619 0.623 0.625 0.625]        0.6085  0.6064  0.6107 0.0017  [0.607 0.607 0.608 0.609 0.611]
xgb_embeds: emb__loss_contrastive_margin_1.0.pickle                             0.6106  0.6038  0.6174 0.0055  [0.603 0.609 0.611 0.612 0.618]        0.5931  0.5889  0.5973 0.0034  [0.591 0.591 0.591 0.595 0.598]
xgb_embeds: emb__loss_histogramloss.pickle                                      0.6162  0.6117  0.6206 0.0036  [0.611 0.615 0.616 0.617 0.621]        0.6022  0.6000  0.6045 0.0018  [0.600 0.601 0.603 0.603 0.604]
xgb_embeds: emb__loss_margin_0.2_beta_0.4.pickle                                0.6053  0.6011  0.6095 0.0034  [0.600 0.604 0.606 0.607 0.609]        0.5849  0.5825  0.5873 0.0019  [0.583 0.583 0.585 0.587 0.587]
xgb_embeds: emb__loss_margin_0.3_beta_0.6.pickle                                0.6065  0.5987  0.6142 0.0062  [0.600 0.600 0.608 0.612 0.613]        0.5929  0.5919  0.5939 0.0008  [0.592 0.592 0.593 0.593 0.593]
xgb_embeds: emb__loss_triplet_margin_0.3.pickle                                 0.6140  0.6093  0.6187 0.0038  [0.611 0.611 0.614 0.615 0.620]        0.5974  0.5955  0.5994 0.0015  [0.596 0.597 0.597 0.598 0.600]
