                                              oof_rocauc_score                                                         test_rocauc_score
                                                          mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                            
lgb_baseline                                            0.8751  0.8626  0.8875 0.0090  [0.863 0.872 0.873 0.880 0.887]            0.8746  0.8711  0.8781 0.0025  [0.873 0.873 0.873 0.877 0.878]
lgb_embeds: embeddings.pickle                           0.8707  0.8499  0.8915 0.0150  [0.852 0.862 0.869 0.882 0.889]            0.8717  0.8673  0.8760 0.0031  [0.868 0.870 0.870 0.874 0.875]
lgb_embeds: embeddings.pickle and baseline              0.8796  0.8620  0.8972 0.0127  [0.863 0.875 0.877 0.887 0.897]            0.8824  0.8798  0.8850 0.0019  [0.880 0.881 0.882 0.884 0.885]
lgb_embeds: embeddings_cpc.pickle                       0.8546  0.8409  0.8682 0.0098  [0.844 0.848 0.851 0.865 0.865]            0.8476  0.8436  0.8516 0.0029  [0.845 0.846 0.847 0.849 0.852]
lgb_embeds: embeddings_cpc.pickle and baseline          0.8744  0.8613  0.8874 0.0094  [0.862 0.869 0.874 0.883 0.885]            0.8717  0.8681  0.8754 0.0026  [0.869 0.869 0.873 0.874 0.874]
lgb_embeds: cpc_v2_embeddings.pickle                    0.8683  0.8481  0.8885 0.0146  [0.847 0.864 0.867 0.878 0.885]            0.8702  0.8659  0.8744 0.0030  [0.865 0.870 0.871 0.872 0.873]
lgb_embeds: cpc_v2_embeddings.pickle and baseline       0.8774  0.8598  0.8950 0.0127  [0.860 0.872 0.877 0.887 0.892]            0.8798  0.8768  0.8828 0.0022  [0.877 0.879 0.880 0.882 0.882]
lgb_embeds: transf_embeddings.pickle                    0.8596  0.8375  0.8817 0.0159  [0.835 0.854 0.863 0.872 0.874]            0.8578  0.8566  0.8591 0.0009  [0.857 0.857 0.858 0.858 0.859]
lgb_embeds: transf_embeddings.pickle and baseline       0.8788  0.8616  0.8959 0.0123  [0.861 0.875 0.878 0.886 0.894]            0.8752  0.8713  0.8791 0.0028  [0.872 0.873 0.875 0.878 0.878]
linear_embeds: embeddings.pickle                        0.8677  0.8474  0.8880 0.0146  [0.845 0.865 0.868 0.876 0.884]            0.8686  0.8674  0.8698 0.0009  [0.867 0.869 0.869 0.869 0.869]
linear_embeds: embeddings.pickle and baseline           0.8659  0.8466  0.8853 0.0140  [0.845 0.863 0.864 0.876 0.881]            0.8698  0.8660  0.8737 0.0028  [0.867 0.867 0.871 0.871 0.873]
linear_embeds: embeddings.pickle and baseline           0.8646  0.8468  0.8824 0.0128  [0.849 0.858 0.860 0.876 0.880]            0.8724  0.8699  0.8748 0.0018  [0.871 0.871 0.873 0.873 0.875]
linear_embeds: embeddings_cpc.pickle                    0.8531  0.8362  0.8700 0.0122  [0.837 0.847 0.851 0.865 0.866]            0.8530  0.8499  0.8560 0.0022  [0.851 0.851 0.853 0.854 0.856]
linear_embeds: embeddings_cpc.pickle and baseline       0.8558  0.8390  0.8726 0.0121  [0.842 0.850 0.851 0.866 0.871]            0.8602  0.8574  0.8630 0.0020  [0.858 0.859 0.859 0.862 0.863]
linear_embeds: cpc_v2_embeddings.pickle                 0.8655  0.8450  0.8859 0.0147  [0.845 0.859 0.864 0.876 0.883]            0.8715  0.8701  0.8728 0.0010  [0.870 0.871 0.872 0.872 0.872]
linear_embeds: cpc_v2_embeddings.pickle and baseline    0.8636  0.8447  0.8824 0.0136  [0.846 0.856 0.862 0.874 0.880]            0.8746  0.8718  0.8774 0.0020  [0.871 0.874 0.875 0.876 0.876]
linear_embeds: transf_embeddings.pickle                 0.8675  0.8472  0.8879 0.0146  [0.846 0.861 0.869 0.877 0.884]            0.8687  0.8661  0.8714 0.0019  [0.867 0.867 0.868 0.870 0.871]
linear_embeds: transf_embeddings.pickle and baseline    0.8671  0.8480  0.8862 0.0138  [0.849 0.859 0.868 0.878 0.882]            0.8727  0.8693  0.8762 0.0025  [0.871 0.871 0.872 0.873 0.877]
scores: finetuning_scores                               0.8817  0.8727  0.8907 0.0065  [0.876 0.877 0.878 0.886 0.891]            0.8878  0.8857  0.8899 0.0015  [0.886 0.886 0.889 0.889 0.889]
scores: finetuning_cpc_scores                           0.8711  0.8616  0.8805 0.0068  [0.864 0.866 0.868 0.877 0.879]            0.8728  0.8660  0.8796 0.0049  [0.867 0.870 0.872 0.876 0.879]
scores: transf_finetuning_scores                        0.8843  0.8794  0.8893 0.0036  [0.879 0.884 0.885 0.886 0.888]            0.8893  0.8857  0.8928 0.0026  [0.886 0.887 0.890 0.891 0.892]
scores: target_scores                                   0.8638  0.8593  0.8683 0.0032  [0.860 0.862 0.864 0.867 0.867]            0.8716  0.8657  0.8775 0.0043  [0.866 0.868 0.873 0.875 0.876]
xgb_baseline                                            0.8709  0.8568  0.8849 0.0101  [0.858 0.866 0.868 0.879 0.883]            0.8679  0.8632  0.8727 0.0034  [0.864 0.865 0.869 0.871 0.871]
xgb_embeds: embeddings.pickle                           0.8626  0.8407  0.8845 0.0158  [0.843 0.854 0.861 0.873 0.883]            0.8625  0.8553  0.8697 0.0052  [0.857 0.858 0.862 0.867 0.869]
xgb_embeds: embeddings.pickle and baseline              0.8753  0.8537  0.8969 0.0156  [0.856 0.869 0.871 0.882 0.898]            0.8708  0.8632  0.8784 0.0055  [0.862 0.869 0.871 0.874 0.877]
xgb_embeds: embeddings_cpc.pickle                       0.8472  0.8331  0.8612 0.0101  [0.833 0.843 0.847 0.852 0.860]            0.8439  0.8391  0.8487 0.0034  [0.838 0.843 0.845 0.845 0.848]
xgb_embeds: embeddings_cpc.pickle and baseline          0.8687  0.8531  0.8843 0.0112  [0.853 0.865 0.870 0.871 0.884]            0.8649  0.8598  0.8700 0.0037  [0.859 0.863 0.867 0.867 0.868]
xgb_embeds: cpc_v2_embeddings.pickle                    0.8590  0.8375  0.8805 0.0155  [0.835 0.857 0.858 0.868 0.877]            0.8610  0.8548  0.8671 0.0044  [0.855 0.859 0.862 0.862 0.867]
xgb_embeds: cpc_v2_embeddings.pickle and baseline       0.8719  0.8526  0.8912 0.0139  [0.852 0.869 0.870 0.881 0.888]            0.8741  0.8687  0.8795 0.0039  [0.872 0.872 0.872 0.873 0.881]
xgb_embeds: transf_embeddings.pickle                    0.8515  0.8277  0.8753 0.0171  [0.825 0.847 0.853 0.865 0.868]            0.8576  0.8481  0.8671 0.0069  [0.848 0.855 0.858 0.861 0.866]
xgb_embeds: transf_embeddings.pickle and baseline       0.8744  0.8546  0.8943 0.0143  [0.857 0.870 0.871 0.880 0.895]            0.8710  0.8654  0.8766 0.0040  [0.869 0.869 0.870 0.870 0.878]
