# outdated
                                                       oof_rocauc_score                                                         test_rocauc_score                                                        
                                                                   mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                     
lgb_embeds: emb__projection_head_rnn0128_prh064.pickle           0.8584  0.8493  0.8675 0.0073  [0.848 0.854 0.862 0.863 0.866]            0.8723  0.8670  0.8775 0.0042  [0.868 0.870 0.870 0.875 0.878]
lgb_embeds: emb__projection_head_rnn0128_prh128.pickle           0.8640  0.8543  0.8738 0.0079  [0.855 0.857 0.864 0.872 0.872]            0.8715  0.8681  0.8749 0.0028  [0.870 0.870 0.870 0.871 0.876]
lgb_embeds: emb__projection_head_rnn0128_prh256.pickle           0.8552  0.8513  0.8591 0.0031  [0.851 0.854 0.855 0.856 0.860]            0.8701  0.8655  0.8746 0.0037  [0.866 0.869 0.869 0.870 0.876]
lgb_embeds: emb__projection_head_rnn0256_prh064.pickle           0.8640  0.8521  0.8760 0.0096  [0.852 0.858 0.863 0.872 0.875]            0.8728  0.8677  0.8780 0.0042  [0.869 0.870 0.872 0.874 0.879]
lgb_embeds: emb__projection_head_rnn0256_prh128.pickle           0.8632  0.8502  0.8763 0.0105  [0.852 0.853 0.866 0.871 0.875]            0.8672  0.8635  0.8709 0.0030  [0.864 0.865 0.867 0.870 0.871]
lgb_embeds: emb__projection_head_rnn0256_prh256.pickle           0.8627  0.8532  0.8722 0.0076  [0.854 0.858 0.862 0.869 0.872]            0.8781  0.8727  0.8836 0.0044  [0.872 0.877 0.878 0.880 0.884]
lgb_embeds: emb__projection_head_rnn0512_prh064.pickle           0.8668  0.8561  0.8775 0.0086  [0.853 0.864 0.871 0.872 0.874]            0.8819  0.8791  0.8848 0.0023  [0.880 0.880 0.882 0.883 0.885]
lgb_embeds: emb__projection_head_rnn0512_prh128.pickle           0.8634  0.8529  0.8739 0.0084  [0.850 0.860 0.867 0.868 0.872]            0.8722  0.8644  0.8800 0.0063  [0.865 0.868 0.870 0.879 0.879]
lgb_embeds: emb__projection_head_rnn0512_prh256.pickle           0.8661  0.8539  0.8784 0.0098  [0.854 0.858 0.869 0.873 0.877]            0.8724  0.8684  0.8765 0.0033  [0.868 0.871 0.873 0.873 0.877]
lgb_embeds: emb__projection_head_rnn1024_prh064.pickle           0.8660  0.8571  0.8748 0.0071  [0.859 0.859 0.864 0.873 0.874]            0.8725  0.8668  0.8782 0.0046  [0.869 0.869 0.872 0.872 0.880]
lgb_embeds: emb__projection_head_rnn1024_prh128.pickle           0.8684  0.8552  0.8816 0.0107  [0.853 0.863 0.871 0.876 0.879]            0.8774  0.8723  0.8825 0.0041  [0.873 0.875 0.876 0.881 0.882]
lgb_embeds: emb__projection_head_rnn1024_prh256.pickle           0.8656  0.8554  0.8758 0.0082  [0.855 0.860 0.865 0.872 0.875]            0.8706  0.8658  0.8753 0.0038  [0.866 0.868 0.871 0.874 0.875]
