                                                                      oof_rocauc_score                                                         test_rocauc_score                                                        
                                                                                  mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                    
lgb_embeds: emb__smpl_strategy_AllPositivePair.pickle                           0.8305  0.8115  0.8495 0.0137  [0.809 0.826 0.835 0.841 0.842]            0.8116  0.8091  0.8142 0.0019  [0.809 0.811 0.811 0.813 0.814]
lgb_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                      0.8716  0.8498  0.8933 0.0157  [0.850 0.864 0.871 0.883 0.889]            0.8669  0.8635  0.8703 0.0025  [0.863 0.866 0.868 0.868 0.870]
lgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_2.pickle              0.8702  0.8509  0.8895 0.0139  [0.854 0.863 0.865 0.880 0.888]            0.8673  0.8648  0.8697 0.0018  [0.865 0.866 0.868 0.868 0.869]
lgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_5.pickle              0.8707  0.8499  0.8915 0.0150  [0.852 0.862 0.869 0.882 0.889]            0.8717  0.8673  0.8760 0.0031  [0.868 0.870 0.870 0.874 0.875]
lgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_9.pickle              0.8695  0.8488  0.8902 0.0149  [0.850 0.862 0.867 0.884 0.885]            0.8716  0.8704  0.8727 0.0008  [0.871 0.871 0.871 0.872 0.873]
linear_embeds: emb__smpl_strategy_AllPositivePair.pickle                        0.8318  0.8121  0.8516 0.0142  [0.810 0.827 0.836 0.838 0.848]            0.8260  0.8222  0.8298 0.0028  [0.822 0.824 0.828 0.828 0.828]
linear_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                   0.8679  0.8496  0.8861 0.0131  [0.848 0.864 0.868 0.876 0.883]            0.8720  0.8699  0.8742 0.0016  [0.871 0.871 0.872 0.872 0.874]
linear_embeds: emb__smpl_strategy_HardNegativePair_neg_count_2.pickle           0.8667  0.8466  0.8869 0.0145  [0.847 0.859 0.865 0.879 0.883]            0.8675  0.8658  0.8691 0.0012  [0.866 0.866 0.867 0.868 0.869]
linear_embeds: emb__smpl_strategy_HardNegativePair_neg_count_5.pickle           0.8677  0.8474  0.8880 0.0146  [0.845 0.865 0.868 0.876 0.884]            0.8686  0.8674  0.8698 0.0009  [0.867 0.869 0.869 0.869 0.869]
linear_embeds: emb__smpl_strategy_HardNegativePair_neg_count_9.pickle           0.8653  0.8468  0.8838 0.0133  [0.847 0.861 0.863 0.877 0.879]            0.8753  0.8721  0.8785 0.0023  [0.872 0.874 0.875 0.877 0.878]
xgb_embeds: emb__smpl_strategy_AllPositivePair.pickle                           0.8243  0.8030  0.8456 0.0153  [0.800 0.819 0.830 0.835 0.838]            0.8102  0.8032  0.8172 0.0050  [0.806 0.806 0.807 0.814 0.817]
xgb_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                      0.8639  0.8411  0.8867 0.0164  [0.843 0.855 0.862 0.877 0.883]            0.8631  0.8583  0.8680 0.0035  [0.858 0.862 0.864 0.866 0.866]
xgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_2.pickle              0.8628  0.8435  0.8822 0.0139  [0.847 0.853 0.859 0.876 0.878]            0.8587  0.8552  0.8622 0.0025  [0.856 0.858 0.858 0.859 0.863]
xgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_5.pickle              0.8626  0.8407  0.8845 0.0158  [0.843 0.854 0.861 0.873 0.883]            0.8625  0.8553  0.8697 0.0052  [0.857 0.858 0.862 0.867 0.869]
xgb_embeds: emb__smpl_strategy_HardNegativePair_neg_count_9.pickle              0.8602  0.8423  0.8781 0.0129  [0.844 0.852 0.859 0.873 0.873]            0.8602  0.8548  0.8657 0.0039  [0.855 0.858 0.862 0.863 0.864]
