# 100K train
lgb_embeds: cpc_embedding_01.pickle                0.2524  0.2512  0.2537 0.0010  [0.251 0.252 0.252 0.253 0.254]                 0.2578  0.2571  0.2585 0.0006  [0.257 0.258 0.258 0.258 0.258]
lgb_embeds: cpc_embedding_02.pickle                0.3385  0.3362  0.3408 0.0019  [0.336 0.337 0.338 0.340 0.341]                 0.3421  0.3411  0.3430 0.0007  [0.341 0.341 0.342 0.342 0.343]
lgb_embeds: cpc_embedding_03.pickle                0.3441  0.3414  0.3469 0.0022  [0.342 0.342 0.343 0.346 0.347]                 0.3487  0.3480  0.3494 0.0006  [0.348 0.348 0.349 0.349 0.350]
lgb_embeds: cpc_embedding_04.pickle                0.3565  0.3547  0.3582 0.0014  [0.355 0.355 0.357 0.357 0.359]                 0.3614  0.3605  0.3622 0.0007  [0.360 0.361 0.362 0.362 0.362]
lgb_embeds: cpc_embedding_05.pickle                0.3665  0.3641  0.3690 0.0019  [0.365 0.365 0.366 0.368 0.369]                 0.3707  0.3701  0.3713 0.0005  [0.370 0.371 0.371 0.371 0.371]
lgb_embeds: cpc_embedding_06.pickle                0.3765  0.3739  0.3791 0.0021  [0.373 0.376 0.376 0.378 0.378]                 0.3817  0.3812  0.3823 0.0004  [0.381 0.381 0.382 0.382 0.382]


# 100K train
lgb_embeds: cpc_embedding_01.pickle                0.4181  0.4163  0.4198 0.0014  [0.417 0.417 0.418 0.419 0.420]                 0.4242  0.4237  0.4246 0.0004  [0.424 0.424 0.424 0.424 0.424]
lgb_embeds: cpc_embedding_02.pickle                0.4154  0.4135  0.4173 0.0015  [0.414 0.414 0.415 0.417 0.417]                 0.4202  0.4193  0.4210 0.0007  [0.419 0.420 0.420 0.420 0.421]
lgb_embeds: cpc_embedding_03.pickle                0.4234  0.4214  0.4255 0.0017  [0.422 0.423 0.423 0.425 0.425]                 0.4290  0.4282  0.4299 0.0007  [0.428 0.429 0.429 0.429 0.430]
lgb_embeds: cpc_embedding_04.pickle            *** 0.4319  0.4298  0.4339 0.0016  [0.429 0.431 0.432 0.433 0.433]                 0.4361  0.4354  0.4368 0.0005  [0.436 0.436 0.436 0.436 0.437]
lgb_embeds: cpc_embedding_05.pickle                0.4312  0.4288  0.4337 0.0020  [0.429 0.430 0.432 0.433 0.433]                 0.4347  0.4337  0.4357 0.0008  [0.434 0.434 0.435 0.435 0.435]
lgb_embeds: cpc_embedding_06.pickle                0.4262  0.4236  0.4288 0.0021  [0.423 0.425 0.427 0.427 0.428]                 0.4302  0.4297  0.4308 0.0004  [0.430 0.430 0.430 0.431 0.431]
lgb_embeds: cpc_embedding_07.pickle                0.4250  0.4235  0.4264 0.0012  [0.423 0.424 0.425 0.426 0.426]                 0.4288  0.4283  0.4293 0.0004  [0.428 0.428 0.429 0.429 0.429]
lgb_embeds: cpc_embedding_08.pickle                0.4190  0.4163  0.4218 0.0022  [0.416 0.417 0.420 0.420 0.422]                 0.4241  0.4235  0.4247 0.0005  [0.424 0.424 0.424 0.425 0.425]
lgb_embeds: cpc_embedding_09.pickle                0.4171  0.4153  0.4189 0.0014  [0.415 0.417 0.417 0.418 0.419]                 0.4208  0.4198  0.4219 0.0009  [0.420 0.421 0.421 0.422 0.422]
lgb_embeds: cpc_embedding_10.pickle                0.4130  0.4111  0.4150 0.0016  [0.411 0.413 0.413 0.413 0.415]                 0.4174  0.4167  0.4181 0.0006  [0.416 0.417 0.417 0.418 0.418]
lgb_embeds: cpc_embedding_11.pickle                0.4101  0.4084  0.4118 0.0014  [0.409 0.409 0.411 0.411 0.412]                 0.4146  0.4140  0.4152 0.0005  [0.414 0.414 0.414 0.415 0.415]
