                                            oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                                   mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                
gender_cd: linear_baseline trx                                   0.6531  0.6471  0.6591 0.0043  [0.648 0.649 0.654 0.655 0.659]                       0.6921  0.6872  0.6970 0.0035  [0.688 0.689 0.691 0.696 0.696]
gender_cd: linear_embeds: embeddings.pickle                      0.6387  0.6303  0.6471 0.0060  [0.631 0.637 0.638 0.639 0.648]                       0.6636  0.6591  0.6682 0.0033  [0.659 0.662 0.665 0.665 0.667]
gender_cd: linear_random                                         0.5000  0.5000  0.5000 0.0000  [0.500 0.500 0.500 0.500 0.500]                       0.5000  0.5000  0.5000 0.0000  [0.500 0.500 0.500 0.500 0.500]
gender_cd: linear_trans_common_features                          0.4997  0.4990  0.5004 0.0005  [0.499 0.500 0.500 0.500 0.500]                       0.5008  0.5002  0.5014 0.0004  [0.500 0.500 0.501 0.501 0.501]
gender_cd: linear_trans_mcc_features                             0.6504  0.6473  0.6534 0.0022  [0.648 0.650 0.650 0.651 0.654]                       0.6839  0.6783  0.6894 0.0040  [0.678 0.681 0.686 0.686 0.688]
gender_cd: xgb_baseline trx                                      0.6817  0.6745  0.6888 0.0052  [0.678 0.679 0.680 0.680 0.691]                       0.7202  0.7167  0.7237 0.0025  [0.718 0.719 0.719 0.720 0.725]
gender_cd: xgb_embeds: embeddings.pickle                         0.6378  0.6285  0.6471 0.0067  [0.629 0.634 0.639 0.642 0.645]                       0.6624  0.6575  0.6674 0.0036  [0.659 0.661 0.661 0.664 0.668]
gender_cd: xgb_random                                            0.4998  0.4987  0.5008 0.0008  [0.499 0.499 0.500 0.500 0.501]                       0.4992  0.4977  0.5007 0.0011  [0.499 0.499 0.499 0.499 0.501]
gender_cd: xgb_trans_common_features                             0.5010  0.4992  0.5028 0.0013  [0.499 0.500 0.502 0.502 0.502]                       0.5027  0.5011  0.5042 0.0011  [0.501 0.502 0.503 0.503 0.504]
gender_cd: xgb_trans_mcc_features                                0.6811  0.6733  0.6889 0.0056  [0.677 0.678 0.678 0.681 0.691]                       0.7208  0.7189  0.7228 0.0014  [0.718 0.721 0.721 0.722 0.722]
