                                                       oof_rocauc_score                                                         test_rocauc_score
                                                                   mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                     
lgb_embeds: emb__hidden_size_bs_0064_hs_0064.pickle              0.8501  0.8305  0.8698 0.0142  [0.831 0.841 0.853 0.862 0.864]            0.8405  0.8388  0.8421 0.0012  [0.839 0.840 0.840 0.841 0.842]
lgb_embeds: emb__hidden_size_bs_0064_hs_0128.pickle              0.8622  0.8445  0.8798 0.0127  [0.848 0.855 0.857 0.873 0.878]            0.8613  0.8559  0.8667 0.0039  [0.857 0.859 0.860 0.865 0.866]
lgb_embeds: emb__hidden_size_bs_0064_hs_0256.pickle              0.8652  0.8503  0.8801 0.0107  [0.851 0.859 0.865 0.871 0.879]            0.8693  0.8662  0.8724 0.0022  [0.866 0.869 0.870 0.870 0.871]
lgb_embeds: emb__hidden_size_bs_0064_hs_0512.pickle              0.8677  0.8497  0.8858 0.0130  [0.851 0.860 0.866 0.877 0.884]            0.8648  0.8612  0.8684 0.0026  [0.861 0.864 0.865 0.865 0.869]
lgb_embeds: emb__hidden_size_bs_0064_hs_1024.pickle              0.8695  0.8525  0.8864 0.0122  [0.854 0.863 0.867 0.879 0.884]            0.8661  0.8634  0.8689 0.0020  [0.864 0.864 0.866 0.868 0.869]
lgb_embeds: emb__hidden_size_bs_0064_hs_2048.pickle              0.8652  0.8502  0.8802 0.0108  [0.853 0.859 0.861 0.875 0.878]            0.8756  0.8710  0.8802 0.0033  [0.872 0.874 0.874 0.878 0.880]
lgb_embeds: emb__hidden_size_bs_0064_hs_3072.pickle              0.8570  0.8413  0.8728 0.0114  [0.846 0.847 0.854 0.867 0.871]            0.8570  0.8509  0.8632 0.0045  [0.852 0.855 0.856 0.857 0.864]
lgb_embeds: emb__hidden_size_bs_0064_hs_4096.pickle              0.8238  0.8043  0.8432 0.0140  [0.799 0.825 0.829 0.831 0.834]            0.8236  0.8204  0.8268 0.0023  [0.820 0.823 0.825 0.825 0.826]
lgb_embeds: emb__hidden_size_bs_0128_hs_0032.pickle              0.8344  0.8178  0.8509 0.0119  [0.814 0.835 0.839 0.841 0.844]            0.8278  0.8245  0.8312 0.0024  [0.824 0.828 0.828 0.828 0.831]
lgb_embeds: emb__hidden_size_bs_0128_hs_0064.pickle              0.8558  0.8323  0.8794 0.0170  [0.837 0.843 0.853 0.869 0.878]            0.8549  0.8496  0.8602 0.0038  [0.850 0.853 0.854 0.857 0.860]
lgb_embeds: emb__hidden_size_bs_0128_hs_0128.pickle              0.8642  0.8438  0.8845 0.0147  [0.844 0.856 0.866 0.875 0.881]            0.8664  0.8623  0.8706 0.0030  [0.861 0.867 0.868 0.868 0.868]
lgb_embeds: emb__hidden_size_bs_0128_hs_0256.pickle              0.8707  0.8524  0.8890 0.0132  [0.855 0.863 0.868 0.879 0.888]            0.8713  0.8684  0.8742 0.0021  [0.868 0.871 0.871 0.872 0.874]
lgb_embeds: emb__hidden_size_bs_0128_hs_0512.pickle              0.8697  0.8509  0.8885 0.0135  [0.853 0.864 0.866 0.878 0.887]            0.8674  0.8625  0.8724 0.0035  [0.863 0.865 0.867 0.869 0.873]
lgb_embeds: emb__hidden_size_bs_0128_hs_1024.pickle              0.8715  0.8515  0.8916 0.0144  [0.850 0.869 0.870 0.880 0.889]            0.8701  0.8682  0.8721 0.0014  [0.869 0.869 0.870 0.871 0.872]
lgb_embeds: emb__hidden_size_bs_0128_hs_2048.pickle              0.8712  0.8520  0.8903 0.0138  [0.854 0.863 0.871 0.878 0.890]            0.8657  0.8642  0.8672 0.0011  [0.864 0.865 0.866 0.866 0.867]
lgb_embeds: emb__hidden_size_bs_0128_hs_3072.pickle              0.8668  0.8475  0.8861 0.0139  [0.848 0.861 0.866 0.874 0.885]            0.8628  0.8599  0.8656 0.0021  [0.861 0.861 0.862 0.864 0.866]
lgb_embeds: emb__hidden_size_bs_0256_hs_0064.pickle              0.8530  0.8319  0.8741 0.0152  [0.835 0.845 0.849 0.865 0.872]            0.8486  0.8450  0.8523 0.0026  [0.845 0.848 0.849 0.851 0.851]
lgb_embeds: emb__hidden_size_bs_0256_hs_0128.pickle              0.8636  0.8423  0.8850 0.0154  [0.842 0.858 0.861 0.876 0.881]            0.8581  0.8549  0.8613 0.0023  [0.855 0.858 0.858 0.859 0.861]
lgb_embeds: emb__hidden_size_bs_0256_hs_0256.pickle              0.8682  0.8468  0.8895 0.0154  [0.847 0.861 0.869 0.880 0.885]            0.8678  0.8639  0.8717 0.0028  [0.863 0.867 0.869 0.870 0.871]
lgb_embeds: emb__hidden_size_bs_0256_hs_0512.pickle              0.8687  0.8502  0.8872 0.0133  [0.852 0.862 0.865 0.879 0.885]            0.8670  0.8602  0.8738 0.0049  [0.862 0.862 0.867 0.870 0.874]
lgb_embeds: emb__hidden_size_bs_0256_hs_0768.pickle              0.8710  0.8526  0.8894 0.0133  [0.853 0.867 0.867 0.884 0.884]            0.8693  0.8656  0.8731 0.0027  [0.866 0.868 0.868 0.871 0.873]
lgb_embeds: emb__hidden_size_bs_0256_hs_1024.pickle              0.8698  0.8522  0.8875 0.0127  [0.853 0.864 0.868 0.880 0.885]            0.8733  0.8718  0.8748 0.0011  [0.872 0.873 0.873 0.873 0.875]
lgb_embeds: emb__hidden_size_bs_0512_hs_0016.pickle              0.8059  0.7891  0.8226 0.0121  [0.789 0.799 0.807 0.817 0.818]            0.7877  0.7821  0.7933 0.0040  [0.784 0.785 0.788 0.789 0.794]
lgb_embeds: emb__hidden_size_bs_0512_hs_0032.pickle              0.8318  0.8091  0.8544 0.0163  [0.808 0.824 0.835 0.844 0.848]            0.8142  0.8110  0.8175 0.0023  [0.812 0.813 0.813 0.815 0.818]
lgb_embeds: emb__hidden_size_bs_0512_hs_0064.pickle              0.8462  0.8273  0.8651 0.0136  [0.825 0.840 0.853 0.855 0.858]            0.8412  0.8359  0.8465 0.0038  [0.837 0.839 0.840 0.845 0.846]
lgb_embeds: emb__hidden_size_bs_0512_hs_0128.pickle              0.8618  0.8430  0.8805 0.0135  [0.844 0.857 0.858 0.870 0.880]            0.8512  0.8473  0.8552 0.0028  [0.847 0.850 0.852 0.853 0.854]
lgb_embeds: emb__hidden_size_bs_0512_hs_0192.pickle              0.8637  0.8395  0.8878 0.0174  [0.840 0.856 0.862 0.877 0.884]            0.8649  0.8628  0.8669 0.0015  [0.863 0.865 0.865 0.866 0.866]
lgb_embeds: emb__hidden_size_bs_0512_hs_0256.pickle              0.8682  0.8455  0.8908 0.0163  [0.846 0.863 0.864 0.884 0.884]            0.8694  0.8638  0.8751 0.0041  [0.866 0.866 0.869 0.870 0.876]
lgb_embeds: emb__hidden_size_bs_0512_hs_0320.pickle              0.8692  0.8522  0.8862 0.0122  [0.852 0.866 0.867 0.877 0.884]            0.8702  0.8668  0.8736 0.0025  [0.868 0.868 0.869 0.873 0.873]
lgb_embeds: emb__hidden_size_bs_0512_hs_0384.pickle              0.8700  0.8526  0.8874 0.0125  [0.853 0.863 0.870 0.880 0.884]            0.8723  0.8690  0.8756 0.0023  [0.868 0.873 0.873 0.873 0.874]
lgb_embeds: emb__hidden_size_bs_0512_hs_0448.pickle              0.8736  0.8556  0.8916 0.0130  [0.855 0.868 0.874 0.884 0.887]            0.8736  0.8707  0.8765 0.0021  [0.870 0.873 0.874 0.875 0.876]
lgb_embeds: emb__hidden_size_bs_0512_hs_0512.pickle              0.8681  0.8501  0.8861 0.0130  [0.851 0.861 0.869 0.875 0.885]            0.8727  0.8700  0.8755 0.0020  [0.871 0.872 0.872 0.873 0.876]
lgb_embeds: emb__hidden_size_bs_1024_hs_0256.pickle              0.8615  0.8418  0.8812 0.0142  [0.846 0.848 0.862 0.872 0.878]            0.8602  0.8572  0.8632 0.0022  [0.857 0.859 0.861 0.862 0.863]
lgb_embeds: emb__hidden_size_bs_1024_hs_0320.pickle              0.8656  0.8493  0.8819 0.0117  [0.850 0.861 0.864 0.873 0.881]            0.8640  0.8612  0.8669 0.0021  [0.861 0.863 0.864 0.866 0.867]
lgb_embeds: emb__hidden_size_bs_1024_hs_0384.pickle              0.8638  0.8460  0.8816 0.0128  [0.851 0.854 0.860 0.874 0.880]            0.8619  0.8588  0.8650 0.0022  [0.860 0.860 0.860 0.864 0.865]
lgb_embeds: emb__hidden_size_bs_1024_hs_0448.pickle              0.8662  0.8434  0.8890 0.0164  [0.843 0.859 0.868 0.876 0.885]            0.8715  0.8671  0.8759 0.0032  [0.869 0.869 0.871 0.872 0.876]
linear_embeds: emb__hidden_size_bs_0064_hs_0064.pickle           0.8478  0.8332  0.8625 0.0106  [0.833 0.840 0.851 0.856 0.859]            0.8451  0.8442  0.8460 0.0006  [0.844 0.845 0.845 0.845 0.846]
