                                                                          oof_rocauc_score                                                         test_rocauc_score                                                        
                                                                                      mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                        
lgb_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle              0.8483  0.8244  0.8721 0.0172  [0.827 0.841 0.842 0.862 0.870]            0.8673  0.8658  0.8687 0.0010  [0.866 0.866 0.868 0.868 0.868]
lgb_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle              0.8140  0.7903  0.8378 0.0171  [0.793 0.808 0.812 0.817 0.840]            0.8143  0.8019  0.8267 0.0090  [0.804 0.807 0.816 0.820 0.825]
lgb_embeds: emb__loss_contrastive_margin_0.5.pickle                                 0.8658  0.8485  0.8831 0.0125  [0.851 0.857 0.865 0.871 0.883]            0.8700  0.8666  0.8733 0.0024  [0.867 0.869 0.870 0.870 0.873]
lgb_embeds: emb__loss_contrastive_margin_1.0.pickle                                 0.8647  0.8487  0.8807 0.0115  [0.850 0.858 0.863 0.876 0.877]            0.8670  0.8626  0.8715 0.0032  [0.862 0.865 0.868 0.869 0.870]
lgb_embeds: emb__loss_histogramloss.pickle                                          0.8598  0.8425  0.8772 0.0125  [0.846 0.853 0.854 0.871 0.874]            0.8537  0.8506  0.8568 0.0022  [0.852 0.852 0.854 0.855 0.857]
lgb_embeds: emb__loss_margin_0.2_beta_0.4.pickle                                    0.8706  0.8509  0.8902 0.0141  [0.850 0.866 0.870 0.883 0.884]            0.8755  0.8710  0.8800 0.0032  [0.871 0.873 0.876 0.878 0.879]
lgb_embeds: emb__loss_margin_0.3_beta_0.6.pickle                                    0.8676  0.8501  0.8851 0.0126  [0.853 0.857 0.868 0.878 0.882]            0.8600  0.8560  0.8641 0.0029  [0.856 0.859 0.860 0.861 0.864]
lgb_embeds: emb__loss_triplet_margin_0.3.pickle                                     0.8600  0.8392  0.8808 0.0150  [0.840 0.853 0.862 0.864 0.881]            0.8622  0.8559  0.8684 0.0045  [0.858 0.859 0.862 0.863 0.869]
lgb_embeds: emb__loss_triplet_margin_0.6.pickle                                     0.8451  0.8306  0.8597 0.0105  [0.828 0.843 0.849 0.851 0.855]            0.8421  0.8386  0.8455 0.0025  [0.838 0.842 0.842 0.843 0.845]
linear_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle           0.8453  0.8236  0.8669 0.0156  [0.823 0.837 0.847 0.858 0.861]            0.8597  0.8562  0.8632 0.0025  [0.857 0.858 0.859 0.861 0.863]
linear_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle           0.8202  0.7984  0.8419 0.0157  [0.795 0.817 0.822 0.830 0.837]            0.8048  0.7984  0.8112 0.0046  [0.802 0.803 0.803 0.803 0.813]
linear_embeds: emb__loss_contrastive_margin_0.5.pickle                              0.8612  0.8444  0.8780 0.0121  [0.845 0.856 0.860 0.869 0.876]            0.8572  0.8543  0.8600 0.0021  [0.855 0.855 0.857 0.859 0.859]
linear_embeds: emb__loss_contrastive_margin_1.0.pickle                              0.8623  0.8453  0.8793 0.0122  [0.848 0.854 0.860 0.875 0.875]            0.8664  0.8653  0.8675 0.0008  [0.865 0.866 0.866 0.867 0.867]
linear_embeds: emb__loss_histogramloss.pickle                                       0.8491  0.8334  0.8647 0.0113  [0.833 0.845 0.851 0.852 0.864]            0.8427  0.8375  0.8479 0.0037  [0.838 0.841 0.842 0.846 0.847]
linear_embeds: emb__loss_margin_0.2_beta_0.4.pickle                                 0.8670  0.8490  0.8850 0.0129  [0.849 0.863 0.864 0.879 0.880]            0.8752  0.8732  0.8771 0.0014  [0.874 0.874 0.875 0.876 0.877]
linear_embeds: emb__loss_margin_0.3_beta_0.6.pickle                                 0.8659  0.8482  0.8836 0.0128  [0.847 0.862 0.866 0.874 0.881]            0.8610  0.8601  0.8620 0.0007  [0.860 0.861 0.861 0.861 0.862]
linear_embeds: emb__loss_triplet_margin_0.3.pickle                                  0.8588  0.8379  0.8796 0.0150  [0.839 0.848 0.864 0.867 0.876]            0.8561  0.8522  0.8601 0.0028  [0.853 0.855 0.856 0.856 0.861]
linear_embeds: emb__loss_triplet_margin_0.6.pickle                                  0.8450  0.8287  0.8612 0.0117  [0.827 0.841 0.846 0.854 0.857]            0.8430  0.8399  0.8461 0.0022  [0.840 0.841 0.844 0.845 0.845]
xgb_embeds: emb__loss_binomialdeviance_C_1.0_alpha_1.0_beta_0.4.pickle              0.8348  0.8128  0.8568 0.0159  [0.814 0.828 0.834 0.842 0.857]            0.8521  0.8443  0.8599 0.0056  [0.844 0.849 0.854 0.856 0.857]
xgb_embeds: emb__loss_binomialdeviance_C_6.0_alpha_0.4_beta_0.7.pickle              0.8020  0.7822  0.8218 0.0143  [0.784 0.796 0.803 0.803 0.823]            0.8009  0.7896  0.8123 0.0082  [0.792 0.793 0.805 0.805 0.810]
xgb_embeds: emb__loss_contrastive_margin_0.5.pickle                                 0.8619  0.8444  0.8794 0.0126  [0.846 0.855 0.860 0.869 0.879]            0.8610  0.8547  0.8674 0.0046  [0.856 0.860 0.860 0.863 0.868]
xgb_embeds: emb__loss_contrastive_margin_1.0.pickle                                 0.8609  0.8433  0.8785 0.0127  [0.844 0.855 0.859 0.873 0.874]            0.8632  0.8517  0.8746 0.0082  [0.850 0.861 0.866 0.867 0.872]
