                                                                             oof_rocauc_score                                                         test_rocauc_score                                                        
                                                                                         mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                           
lgb_embeds: emb__smpl_strategy_AllPositivePair.pickle                                  0.8193  0.8006  0.8380 0.0135  [0.798 0.819 0.820 0.823 0.836]            0.7981  0.7932  0.8030 0.0035  [0.794 0.796 0.797 0.799 0.804]
lgb_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                             0.8267  0.8105  0.8428 0.0116  [0.809 0.825 0.826 0.831 0.842]            0.8084  0.8066  0.8102 0.0013  [0.807 0.807 0.809 0.809 0.810]
lgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_2.pickle              0.8635  0.8444  0.8826 0.0138  [0.844 0.859 0.861 0.873 0.880]            0.8599  0.8552  0.8647 0.0034  [0.856 0.859 0.859 0.862 0.865]
lgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_5.pickle              0.8681  0.8463  0.8900 0.0157  [0.849 0.860 0.863 0.883 0.886]            0.8652  0.8620  0.8684 0.0023  [0.861 0.865 0.865 0.866 0.868]
lgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_9.pickle              0.8671  0.8510  0.8831 0.0116  [0.850 0.865 0.866 0.874 0.881]            0.8603  0.8565  0.8641 0.0028  [0.858 0.859 0.859 0.861 0.865]
linear_embeds: emb__smpl_strategy_AllPositivePair.pickle                               0.8149  0.8017  0.8280 0.0095  [0.803 0.812 0.813 0.817 0.829]            0.8117  0.8041  0.8194 0.0055  [0.806 0.809 0.812 0.812 0.821]
linear_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                          0.8223  0.8026  0.8421 0.0142  [0.798 0.821 0.827 0.832 0.834]            0.8125  0.8092  0.8158 0.0024  [0.809 0.811 0.814 0.814 0.815]
linear_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_2.pickle           0.8624  0.8414  0.8834 0.0151  [0.840 0.858 0.862 0.873 0.879]            0.8612  0.8584  0.8639 0.0020  [0.859 0.860 0.861 0.862 0.864]
linear_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_5.pickle           0.8637  0.8428  0.8846 0.0150  [0.844 0.857 0.861 0.875 0.882]            0.8677  0.8661  0.8693 0.0011  [0.866 0.867 0.868 0.868 0.869]
linear_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_9.pickle           0.8626  0.8455  0.8796 0.0123  [0.844 0.860 0.862 0.869 0.877]            0.8592  0.8562  0.8622 0.0021  [0.857 0.857 0.859 0.861 0.862]
xgb_embeds: emb__smpl_strategy_AllPositivePair.pickle                                  0.8124  0.7969  0.8279 0.0112  [0.793 0.812 0.817 0.819 0.820]            0.7936  0.7850  0.8022 0.0062  [0.783 0.792 0.796 0.797 0.799]
xgb_embeds: emb__smpl_strategy_DistanceWeightedPair.pickle                             0.8169  0.8007  0.8330 0.0116  [0.799 0.812 0.821 0.824 0.828]            0.8064  0.8020  0.8107 0.0031  [0.802 0.805 0.806 0.809 0.810]
xgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_2.pickle              0.8594  0.8408  0.8781 0.0134  [0.841 0.855 0.858 0.868 0.876]            0.8459  0.8420  0.8498 0.0028  [0.843 0.844 0.845 0.848 0.850]
xgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_5.pickle              0.8587  0.8383  0.8791 0.0147  [0.842 0.850 0.852 0.874 0.875]            0.8578  0.8510  0.8646 0.0049  [0.852 0.856 0.856 0.860 0.865]
xgb_embeds: emb__smpl_strategy_HardNegativePair_bs_512_neg_count_9.pickle              0.8603  0.8482  0.8724 0.0087  [0.846 0.860 0.861 0.867 0.867]            0.8539  0.8487  0.8590 0.0037  [0.847 0.855 0.855 0.856 0.856]
