                                      oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                             mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                          
age: linear_baseline trx                                   0.2033  0.1986  0.2079 0.0034  [0.198 0.204 0.204 0.206 0.206]                       0.2089  0.2045  0.2133 0.0032  [0.205 0.207 0.208 0.211 0.213]
age: linear_embeds: embeddings.pickle                      0.2037  0.1985  0.2089 0.0037  [0.199 0.200 0.205 0.207 0.207]                       0.2175  0.2118  0.2232 0.0041  [0.210 0.218 0.219 0.219 0.221]
age: linear_random                                         0.1667  0.1667  0.1667 0.0000  [0.167 0.167 0.167 0.167 0.167]                       0.1667  0.1667  0.1667 0.0000  [0.167 0.167 0.167 0.167 0.167]
age: linear_trans_common_features                          0.1776  0.1753  0.1800 0.0017  [0.175 0.177 0.178 0.178 0.180]                       0.1805  0.1789  0.1821 0.0011  [0.180 0.180 0.180 0.180 0.182]
age: linear_trans_mcc_features                             0.1955  0.1902  0.2007 0.0038  [0.189 0.196 0.196 0.196 0.199]                       0.1989  0.1979  0.2000 0.0008  [0.198 0.199 0.199 0.199 0.200]
age: xgb_baseline trx                                      0.2196  0.2145  0.2248 0.0037  [0.213 0.220 0.221 0.222 0.222]                       0.2230  0.2174  0.2286 0.0040  [0.219 0.221 0.221 0.226 0.228]
age: xgb_embeds: embeddings.pickle                         0.2002  0.1957  0.2047 0.0033  [0.198 0.198 0.199 0.201 0.205]                       0.2226  0.2171  0.2282 0.0040  [0.217 0.219 0.225 0.226 0.226]
age: xgb_random                                            0.1672  0.1661  0.1683 0.0008  [0.166 0.167 0.168 0.168 0.168]                       0.1670  0.1644  0.1697 0.0019  [0.164 0.167 0.167 0.167 0.170]
age: xgb_trans_common_features                             0.1823  0.1795  0.1851 0.0020  [0.180 0.180 0.183 0.184 0.184]                       0.1855  0.1796  0.1915 0.0043  [0.180 0.183 0.185 0.189 0.191]
age: xgb_trans_mcc_features                                0.2106  0.2062  0.2150 0.0032  [0.207 0.208 0.211 0.213 0.214]                       0.2129  0.2094  0.2164 0.0025  [0.210 0.211 0.213 0.213 0.217]
