                                               oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                                      mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                   
children_cnt: linear_baseline trx                                   0.3335  0.3324  0.3347 0.0008  [0.333 0.333 0.333 0.334 0.334]                       0.3331  0.3322  0.3341 0.0007  [0.333 0.333 0.333 0.333 0.334]
children_cnt: linear_embeds: embeddings.pickle                      0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]
children_cnt: linear_random                                         0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]
children_cnt: linear_trans_common_features                          0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]
children_cnt: linear_trans_mcc_features                             0.3333  0.3326  0.3340 0.0005  [0.333 0.333 0.333 0.334 0.334]                       0.3331  0.3321  0.3341 0.0007  [0.333 0.333 0.333 0.333 0.334]
children_cnt: xgb_baseline trx                                      0.3334  0.3331  0.3337 0.0002  [0.333 0.333 0.333 0.334 0.334]                       0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]
children_cnt: xgb_embeds: embeddings.pickle                         0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3336  0.3328  0.3345 0.0006  [0.333 0.333 0.333 0.333 0.335]
children_cnt: xgb_random                                            0.3333  0.3333  0.3334 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3333  0.3332  0.3334 0.0001  [0.333 0.333 0.333 0.333 0.333]
children_cnt: xgb_trans_common_features                             0.3338  0.3332  0.3344 0.0005  [0.333 0.333 0.334 0.334 0.334]                       0.3332  0.3330  0.3335 0.0002  [0.333 0.333 0.333 0.333 0.333]
children_cnt: xgb_trans_mcc_features                                0.3333  0.3333  0.3333 0.0000  [0.333 0.333 0.333 0.333 0.333]                       0.3333  0.3332  0.3334 0.0001  [0.333 0.333 0.333 0.333 0.333]
