                                                  oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                                         mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                      
job_position_cd: linear_baseline trx                                   0.2195  0.2176  0.2214 0.0014  [0.217 0.219 0.220 0.220 0.221]                       0.2258  0.2246  0.2270 0.0009  [0.225 0.225 0.225 0.226 0.227]
job_position_cd: linear_embeds: embeddings.pickle                      0.2091  0.2054  0.2128 0.0027  [0.206 0.207 0.210 0.211 0.212]                       0.2132  0.2107  0.2156 0.0017  [0.211 0.212 0.213 0.215 0.215]
job_position_cd: linear_random                                         0.2000  0.2000  0.2000 0.0000  [0.200 0.200 0.200 0.200 0.200]                       0.2000  0.2000  0.2000 0.0000  [0.200 0.200 0.200 0.200 0.200]
job_position_cd: linear_trans_common_features                          0.2145  0.2120  0.2170 0.0018  [0.213 0.213 0.215 0.216 0.216]                       0.2208  0.2193  0.2224 0.0011  [0.219 0.221 0.221 0.221 0.222]
job_position_cd: linear_trans_mcc_features                             0.2184  0.2127  0.2242 0.0041  [0.214 0.215 0.219 0.220 0.225]                       0.2219  0.2188  0.2249 0.0022  [0.219 0.220 0.222 0.223 0.225]
job_position_cd: xgb_baseline trx                                      0.2250  0.2202  0.2298 0.0034  [0.221 0.222 0.226 0.227 0.229]                       0.2299  0.2270  0.2328 0.0021  [0.228 0.229 0.229 0.232 0.232]
job_position_cd: xgb_embeds: embeddings.pickle                         0.2319  0.2296  0.2342 0.0017  [0.230 0.231 0.231 0.233 0.234]                       0.2293  0.2268  0.2319 0.0018  [0.227 0.228 0.230 0.231 0.231]
job_position_cd: xgb_random                                            0.2001  0.1990  0.2012 0.0008  [0.199 0.200 0.200 0.200 0.201]                       0.2005  0.1989  0.2022 0.0012  [0.199 0.199 0.201 0.201 0.202]
job_position_cd: xgb_trans_common_features                             0.2183  0.2146  0.2220 0.0027  [0.214 0.217 0.219 0.220 0.221]                       0.2259  0.2236  0.2283 0.0017  [0.224 0.225 0.226 0.226 0.229]
job_position_cd: xgb_trans_mcc_features                                0.2276  0.2191  0.2361 0.0062  [0.219 0.225 0.227 0.230 0.236]                       0.2266  0.2247  0.2285 0.0014  [0.225 0.226 0.227 0.227 0.228]
