                                                    oof_balanced_accuracy_score                                                         test_balanced_accuracy_score                                                        
                                                                           mean t_int_l t_int_h    std                           values                         mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                                        
marital_status_cd: linear_baseline trx                                   0.3091  0.3073  0.3109 0.0013  [0.307 0.309 0.309 0.310 0.311]                       0.3245  0.3215  0.3275 0.0022  [0.321 0.324 0.324 0.325 0.328]
marital_status_cd: linear_embeds: embeddings.pickle                      0.3049  0.3030  0.3068 0.0014  [0.303 0.304 0.305 0.306 0.306]                       0.3186  0.3163  0.3208 0.0016  [0.317 0.317 0.320 0.320 0.320]
marital_status_cd: linear_random                                         0.2500  0.2500  0.2500 0.0000  [0.250 0.250 0.250 0.250 0.250]                       0.2500  0.2500  0.2500 0.0000  [0.250 0.250 0.250 0.250 0.250]
marital_status_cd: linear_trans_common_features                          0.2804  0.2764  0.2845 0.0029  [0.277 0.278 0.282 0.283 0.283]                       0.2931  0.2921  0.2941 0.0007  [0.292 0.293 0.293 0.293 0.294]
marital_status_cd: linear_trans_mcc_features                             0.3084  0.3051  0.3117 0.0024  [0.305 0.307 0.308 0.310 0.311]                       0.3196  0.3173  0.3220 0.0017  [0.318 0.319 0.319 0.320 0.322]
marital_status_cd: xgb_baseline trx                                      0.3178  0.3147  0.3210 0.0023  [0.314 0.318 0.319 0.319 0.320]                       0.3359  0.3336  0.3383 0.0017  [0.333 0.335 0.336 0.337 0.337]
marital_status_cd: xgb_embeds: embeddings.pickle                         0.3054  0.3036  0.3072 0.0013  [0.304 0.305 0.305 0.305 0.308]                       0.3190  0.3136  0.3245 0.0039  [0.313 0.317 0.321 0.322 0.322]
marital_status_cd: xgb_random                                            0.2501  0.2481  0.2521 0.0014  [0.248 0.249 0.250 0.251 0.252]                       0.2522  0.2492  0.2552 0.0021  [0.249 0.251 0.252 0.254 0.255]
marital_status_cd: xgb_trans_common_features                             0.2839  0.2811  0.2867 0.0020  [0.282 0.282 0.284 0.285 0.287]                       0.2974  0.2931  0.3017 0.0031  [0.295 0.295 0.296 0.301 0.301]
marital_status_cd: xgb_trans_mcc_features                                0.3151  0.3136  0.3166 0.0011  [0.314 0.315 0.315 0.316 0.317]                       0.3312  0.3279  0.3346 0.0024  [0.329 0.329 0.330 0.333 0.334]
